rule,n_apps,n_ops,seed,regime,objective,exact_objective,gap,seconds,exact_seconds,evaluated
overhead,3,3,2,small,0.4115521442903892,0.4115521442903892,0.0,0.007958263000091392,0.021392778000063117,94
overhead,3,3,3,small,0.6045857446732619,0.6045857446732619,0.0,0.005008809000173642,0.018911597000169422,59
overhead,3,3,4,small,0.5887127155128201,0.5887127155128201,0.0,0.005790742000044702,0.01900382200005879,75
overhead,3,3,5,small,0.6979982715015873,0.6979982715015873,0.0,0.007750373000135369,0.019218481000052634,120
overhead,3,3,6,small,0.4466908186494058,0.4466908186494058,0.0,0.008977377999826786,0.023127138000063496,116
overhead,3,3,7,small,0.6631136214285118,0.6631136214285118,0.0,0.007763377999935983,0.020647077999910834,98
overhead,3,3,8,small,0.27196891085671226,0.27196891085671226,0.0,0.0030809080001290567,0.015546771000117587,50
overhead,3,3,9,small,0.45456204763960706,0.45456204763960706,0.0,0.003221573000018907,0.017308655999840994,49
overhead,4,3,0,small,0.14906210730518515,0.14906210730518515,0.0,0.0025831059999745776,0.06402534000017113,37
overhead,4,3,1,small,0.5985936449036287,0.5985936449036287,0.0,0.014217979000022751,0.09034864699992795,174
overhead,4,3,2,small,0.36153759495532883,0.36153759495532883,0.0,0.004673331000049075,0.08277513000007275,68
overhead,4,3,3,small,0.10448608910150847,0.10448608910150847,0.0,0.002870017000077496,0.08275999700003922,34
overhead,4,3,4,small,0.2248732403073014,0.2248732403073014,0.0,0.00502310399997441,0.07287293900003533,79
overhead,4,3,5,small,0.5922578219195697,0.5922578219195697,0.0,0.0108595700000933,0.1052639409999756,127
overhead,4,3,6,small,0.2536408336416587,0.2536408336416587,0.0,0.007718469999872468,0.08631582800012438,123
overhead,4,3,7,small,0.5930861355413646,0.5930861355413646,0.0,0.012464498000099411,0.1260255380000217,150
overhead,4,3,8,small,0.4227455413413309,0.4227455413413309,0.0,0.006604315000004135,0.07790628700013258,113
overhead,4,3,9,small,0.6147413836596423,0.6147413836596423,0.0,0.010613314000011087,0.08998611599986361,142
overhead,10,5,0,large,0.4318453571448254,,,0.023425836999876992,,413
overhead,10,5,1,large,0.4719830566094839,,,0.02489469200008898,,366
overhead,10,5,2,large,0.39534438567761615,,,0.027529356999821175,,355
overhead,10,5,3,large,0.3116847139382919,,,0.03495285799999692,,502
overhead,10,5,4,large,0.24250469050978046,,,0.01171011999986149,,216
overhead,10,5,5,large,0.3067320276703864,,,0.029168319000064002,,422
overhead,10,5,6,large,0.271685136434441,,,0.02741694299993469,,485
overhead,10,5,7,large,0.5517098592724011,,,0.04567370800009485,,559
overhead,10,5,8,large,0.40215568228256243,,,0.020793431000129203,,315
overhead,10,5,9,large,0.2585237579364368,,,0.02215965599998526,,404
overhead,20,10,0,large,0.3942237112474104,,,0.065566495999974,,690
overhead,20,10,1,large,0.3450112783347814,,,0.06032820199993694,,659
overhead,20,10,2,large,0.35598538034053095,,,0.06475238599978184,,666
overhead,20,10,3,large,0.2807916545106119,,,0.07136657899991405,,710
overhead,20,10,4,large,0.3383361233711897,,,0.05359160200009683,,597
overhead,20,10,5,large,0.40183677842899945,,,0.0683296170000176,,711
overhead,20,10,6,large,0.32050916763136483,,,0.10324014499997247,,929
overhead,20,10,7,large,0.32181418270865875,,,0.035585508999929516,,357
overhead,20,10,8,large,0.32980233697613315,,,0.04705588399997396,,415
overhead,20,10,9,large,0.2964885900015152,,,0.0929970360000425,,821
overhead,50,25,0,large,0.2566333205220143,,,0.29635577600015495,,1197
overhead,50,25,1,large,0.32628932509287745,,,0.2750945810000758,,1151
overhead,50,25,2,large,0.27453129530998405,,,0.24320138999996743,,917
overhead,50,25,3,large,0.2822146110038542,,,0.2556023219999588,,960
overhead,50,25,4,large,0.28657854400593924,,,0.18114457900014713,,725
overhead,50,25,5,large,0.29017056672394237,,,0.1954029379999156,,912
overhead,50,25,6,large,0.269470486815998,,,0.21338485299997956,,1011
overhead,50,25,7,large,0.31059434924294527,,,0.16365960100006305,,761
overhead,50,25,8,large,0.30149895814589545,,,0.13957607499992264,,607
overhead,50,25,9,large,0.28381502084093835,,,0.21393710399979682,,916
overhead,100,50,0,large,0.2404335180096821,,,0.8490822480000588,,1691
overhead,100,50,1,large,0.2426012903372895,,,0.41706190200011406,,706
overhead,100,50,2,large,0.27402266263871206,,,0.7709135560000959,,1417
overhead,100,50,3,large,0.2015275757113184,,,0.8950384940001186,,1711
