axis,level,slack,cap_sigma,seed,steer_napp,steer_nop,steer_nsys,edge_napp,edge_nsys,app_not_full_frac,app_unserved_mean,full_service_feasible,manip_app_gas_frac,manip_app_gas_rel,manip_app_gas_dem,manip_op_gasprice_frac,manip_op_gasprice_rel,manip_op_stake_frac,manip_op_stake_rel,manip_op_gas_frac,manip_op_gas_rel
slack,2.0,2.0,0.8,7,0.0,0.049037886316668944,0.1851899394019766,0.0,0.1851899394019766,0,0.0,1.0,0,0.0,0.0,0.3333333333333333,0.08313487421069642,0,0.0,0,0.0
slack,2.0,2.0,0.8,8,0.0,0.08891621967014507,0.0,0.0,0.0,0.75,0.75,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,2.0,2.0,0.8,9,0.0,0.38430196345017864,0.4186598268162637,0.0,0.4186598268162637,0.25,0.25,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,4.0,4.0,0.8,0,0.5539392339948133,0.7688928565114913,0.7391726068837208,0.5539392339948133,0.7391726068837208,1,0.7769696169974066,0.0,0.25,0.0,0.25,0,0.0,0.3333333333333333,0.34361291257818394,0,0.0
slack,4.0,4.0,0.8,1,0.0,0.8848295994450692,0.5522777587886055,0.0,0.5522777587886055,0,0.0,1.0,0,0.0,0.0,0.3333333333333333,0.8264689536143064,0.3333333333333333,0.09538583775768299,0,0.0
slack,4.0,4.0,0.8,2,0.25,0.7429288847798601,0.7423622118016041,0.25,0.7423622118016041,0.25,0.25,1.0,0.25,0.0,0.25,0.6666666666666666,6.184436159529199,0,0.0,0,0.0
slack,4.0,4.0,0.8,3,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,4.0,4.0,0.8,4,0.0,0.20941728767015377,0.013362243533263651,0.0,0.013362243533263651,0.25,0.25,0.0,0,0.0,0.0,0.3333333333333333,1.1718740856224354,0,6.423520016271107e-17,0,0.0
slack,4.0,4.0,0.8,5,0.0,0.749085669132536,0.26347966890578056,0.0,0.26347966890578056,0,2.7755575615628914e-17,1.0,0,2.8343198439263966e-17,2.834319843926396e-17,0.3333333333333333,1.1609035929792892,0.3333333333333333,1.1609035929792892,0,0.0
slack,4.0,4.0,0.8,6,0.3333333333333333,0.2156699413799551,0.22651611997348176,0.02175746250682827,0.22651611997348176,0.5,0.2663180968801212,0.0,0.25,0.02327679445471083,0.016318096880121206,0.6666666666666666,1.0498669436619357,0.6666666666666666,0.4777800930642395,0,0.0
slack,4.0,4.0,0.8,7,0.0,0.3613757656932096,0.3813437619460446,0.0,0.3813437619460446,0,0.0,1.0,0,0.0,0.0,0.3333333333333333,0.08313487421069642,0,0.0,0,0.0
slack,4.0,4.0,0.8,8,0.0,0.08891621967014507,0.0,0.0,0.0,0.75,0.75,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,4.0,4.0,0.8,9,0.0,0.38430196345017864,0.4186598268162637,0.0,0.4186598268162637,0.25,0.25,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,8.0,8.0,0.8,0,0.18432348935117157,0.6541570756805243,0.6541570756805243,0.18432348935117157,0.6541570756805243,0.5,0.5,0.0,0,0.0,0.0,0,0.0,0.3333333333333333,0.2618189845661399,0,0.0
