seed,scale,objective,mean_app_util,mean_op_util,sys_util,n_chains
7,1.25,0.27514837454527025,10.982501615790076,4.84907205499877,963.2792757263452,7
7,2.0,0.28008739567295327,12.356196994205352,4.322918835515698,957.9304671590222,7
7,4.0,0.2491166893021452,11.497503870692762,3.7248850209490616,861.2166889344749,7
8,0.25,0.7510291144050864,22.973471768098577,17.775066781069892,3342.9750616634965,8
8,0.5,0.44409352866868285,23.17277174454596,18.995212584636974,3019.4530170445737,9
8,0.8,0.3651170076605016,23.87470008564252,17.02250836718325,2774.1847477141346,7
8,1.0,0.33667885202177783,23.87470008564252,17.02250836718325,2774.1847477141346,7
8,1.25,0.3139283275107989,23.87470008564252,17.02250836718325,2774.1847477141346,7
8,2.0,0.2798025407443304,23.87470008564252,17.02250836718325,2774.1847477141346,7
8,4.0,0.25164507796485164,23.913481014833597,16.660937409013783,2779.7193087421556,8
9,0.25,0.4211861269186188,16.249912137294082,12.932056778655854,2369.987653122803,9
9,0.5,0.34293325574885203,23.078733941250306,12.24670324222077,2268.4821100263407,9
9,0.8,0.30282300577050225,20.584117033842613,14.604805092611684,2646.3712275495163,10
9,1.0,0.2927245867736782,23.116368267520308,14.02793524849712,2524.6629630733883,10
9,1.25,0.2793854191567608,23.116368267520308,14.02793524849712,2524.6629630733883,10
9,2.0,0.243764029495658,21.70413968710225,13.566294939003761,2453.2630787776416,9
9,4.0,0.2275657999312252,21.70413968710225,13.566294939003761,2453.2630787776416,9
10,0.25,0.7362230736352732,11.977076267168387,9.790283648135087,1418.6529671308745,9
10,0.5,0.4400161374601566,11.665790056005736,9.940508615539526,1385.1283303745386,8
10,0.8,0.31412577737011993,10.86793098869759,7.397615724108501,1298.7731089379351,8
10,1.0,0.28248503966600785,10.86793098869759,7.397615724108501,1298.7731089379351,8
10,1.25,0.2571724495027182,10.86793098869759,7.397615724108501,1298.7731089379351,8
10,2.0,0.22198793710967663,10.34030695024891,5.58253388584205,856.0976265654796,7
10,4.0,0.20096519094346119,10.34030695024891,5.58253388584205,856.0976265654796,7
11,0.25,0.6858368273695488,20.633988766889697,18.34169146657443,2695.496337515433,9
11,0.5,0.463206993586914,21.2052438271147,14.577492372239478,2580.958214060301,10
11,0.8,0.37105849981784755,21.118353576914974,12.129446458257304,2060.084271234402,8
11,1.0,0.3462881101757155,21.118353576914974,12.129446458257304,2060.084271234402,8
11,1.25,0.3017035889547589,19.685244062768763,15.117291936834802,2228.945788326544,9
11,2.0,0.291460246562758,20.215283099547534,14.415845138945919,2121.775562383476,9
11,4.0,0.2613150026865745,21.205243827114703,11.798153179056689,1948.6158475113261,9
12,0.25,0.38445036034748636,12.634912918363089,9.188503914148026,1694.6884618550428,9
12,0.5,0.2757877498216855,12.60165019209494,6.2509083509420185,1392.3869788515349,9
12,0.8,0.2476182137545333,17.667526378150942,9.84600615429249,2117.6791907544953,8
12,1.0,0.2032780642965534,13.60263094676118,6.529443622299308,1423.4361769328539,9
12,1.25,0.19794684294203962,11.078341513765592,3.494995115654043,1036.1863615465622,8
12,2.0,0.18549437834295512,13.753024457886033,4.621043392488604,1157.23709017444,8
12,4.0,0.17426599129450773,13.753024457886033,4.621043392488604,1157.23709017444,8
13,0.25,0.5755898967629713,22.69667954702508,11.26263035581784,3016.90976340031,10
