axis,level,slack,cap_sigma,seed,steer_napp,steer_nop,steer_nsys,edge_napp,edge_nsys,app_not_full_frac,app_unserved_mean,full_service_feasible,manip_app_gas_frac,manip_app_gas_rel,manip_app_gas_dem,manip_op_gasprice_frac,manip_op_gasprice_rel,manip_op_stake_frac,manip_op_stake_rel,manip_op_gas_frac,manip_op_gas_rel
slack,1.0,1.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.5684242468841497,0.0,4.48784960601663e-17,0.0,0.0
slack,1.0,1.0,0.8,2,0.25,0.6241331594211529,0.6144277736372457,0.25,0.6144277736372457,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,4.207995595689607,0.6666666666666666,7.208188523929052,0.6666666666666666,1.180954983025471
slack,1.0,1.0,0.8,3,0.0,0.0,0.0,0.0,0.0,1.0,0.9295071094157972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slack,1.0,1.0,0.8,4,0.4322283290438006,0.0172474591836295,0.0674142630054817,0.4322283290438006,0.0674142630054817,1.0,0.4713738135144018,0.0,0.5,0.3383827967859774,0.1439082654593095,0.3333333333333333,0.2262072489852999,0.0,5.664047495931839e-17,0.0,0.0
slack,1.0,1.0,0.8,5,0.0,0.3570252540784168,0.2634796689057805,0.0,0.2634796689057805,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
slack,1.0,1.0,0.8,6,0.3831590484400605,0.2633619068311418,0.2642562695626793,0.3831590484400605,0.2642562695626793,0.75,0.6915795242200302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.80757940908759e-17,0.0,0.0
slack,1.0,1.0,0.8,7,0.0,0.0714066846222083,0.2274181896559135,0.0,0.2274181896559135,0.25,0.0105508817015033,0.0,0.0,0.0,0.0,0.3333333333333333,0.1456250996401334,0.0,3.768265434033565e-17,0.0,0.0
slack,1.0,1.0,0.8,8,0.0,0.088916219670145,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.1833002794955392e-16,0.0,0.0
slack,1.0,1.0,0.8,9,0.0,0.3843019634501786,0.4186598268162637,0.0,0.4186598268162637,0.25,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.6681217549082556,1.0,1.7327271326571234,0.0,0.0
slack,2.0,2.0,0.8,0,0.0232662931183926,0.7280156119774643,0.5501439576200287,0.0232662931183926,0.5501439576200287,0.75,0.5634212769333067,0.0,0.0,0.0,0.0,0.3333333333333333,3.141686648445843,0.6666666666666666,4.877850357629904,0.0,0.0
slack,2.0,2.0,0.8,1,0.0,0.4598942632231387,0.3871815316680309,0.0,0.3871815316680309,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.5684242468841497,0.6666666666666666,0.9301486070511796,0.0,0.0
slack,2.0,2.0,0.8,2,0.25,0.7429288847798601,0.7423622118016041,0.25,0.7423622118016041,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,4.207995595689607,0.6666666666666666,7.208188523929052,0.3333333333333333,0.5945925106712369
slack,2.0,2.0,0.8,3,0.0,0.0,0.0,0.0,0.0,1.0,0.8590142188315943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slack,2.0,2.0,0.8,4,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423520016271107e-17,0.0,0.0
slack,2.0,2.0,0.8,5,0.0,0.749085669132536,0.2634796689057805,0.0,0.2634796689057805,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
slack,2.0,2.0,0.8,6,0.3285331320558849,0.0691575686490962,0.0495250777702725,0.3285331320558849,0.0495250777702725,1.0,0.4259552506178734,0.0,0.5,0.0624028093987339,0.0427962021778128,0.6666666666666666,0.4190990739137978,0.6666666666666666,0.057234733315979,0.0,0.0
slack,2.0,2.0,0.8,7,0.0,0.0490378863166689,0.1851899394019766,0.0,0.1851899394019766,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0831348742106964,0.6666666666666666,0.1945525421121948,0.0,0.0
slack,2.0,2.0,0.8,8,0.0,0.088916219670145,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.1833002794955392e-16,0.0,0.0
slack,2.0,2.0,0.8,9,0.0,0.3843019634501786,0.4186598268162637,0.0,0.4186598268162637,0.25,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.6681217549082556,1.0,1.7327271326571234,0.0,0.0
slack,4.0,4.0,0.8,0,0.5539392339948133,0.7688928565114913,0.7391726068837208,0.5539392339948133,0.7391726068837208,1.0,0.7769696169974066,0.0,0.5,0.0,0.5,0.0,0.0,0.6666666666666666,0.5756723026949827,0.3333333333333333,0.2781960433742994
slack,4.0,4.0,0.8,1,0.0,0.8848295994450692,0.5522777587886055,0.0,0.5522777587886055,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.137229403657158,0.0,0.0
slack,4.0,4.0,0.8,2,0.25,0.7429288847798601,0.7423622118016041,0.25,0.7423622118016041,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,4.207995595689607,0.6666666666666666,7.208188523929052,0.0,0.0
slack,4.0,4.0,0.8,3,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
slack,4.0,4.0,0.8,4,0.0,0.2094172876701537,0.0133622435332636,0.0,0.0133622435332636,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423520016271107e-17,0.0,0.0
slack,4.0,4.0,0.8,5,0.0,0.749085669132536,0.2634796689057805,0.0,0.2634796689057805,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3757245771690649,0.0,0.0
slack,4.0,4.0,0.8,6,0.3333333333333333,0.2156699413799551,0.2265161199734817,0.0217574625068282,0.2265161199734817,0.5,0.2663180968801212,0.0,0.25,0.0232767944547108,0.0163180968801212,0.6666666666666666,1.0498669436619357,0.6666666666666666,0.4777800930642395,0.0,0.0
slack,4.0,4.0,0.8,7,0.0,0.3613757656932096,0.3813437619460446,0.0,0.3813437619460446,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0831348742106964,1.0,0.3024138538645531,0.0,0.0
slack,4.0,4.0,0.8,8,0.0,0.088916219670145,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.1833002794955392e-16,0.0,0.0
