cap_scale,seed,w_app,w_op,w_sys,napp,nsys
0.5,9,0.0,0.4,0.6,0.34165858088045536,0.136091395412567
0.5,9,0.0,0.6,0.4,0.34165858088045536,0.136091395412567
0.5,9,0.0,0.8,0.2,0.24459864118910146,0.1390692690324171
0.5,9,0.0,1.0,0.0,0.24459864118910146,0.1390692690324171
0.5,9,0.2,0.0,0.8,0.5214071149579963,0.14763442110448172
0.5,9,0.2,0.2,0.6,0.45391895231892077,0.1354903510099859
0.5,9,0.2,0.4,0.4,0.5214071149579963,0.14763442110448172
0.5,9,0.2,0.6,0.2,0.45391895231892077,0.1354903510099859
0.5,9,0.2,0.8,0.0,0.5224749195353131,0.09465495420884572
0.5,9,0.4,0.0,0.6,0.4766006898687426,0.13378381397124883
0.5,9,0.4,0.2,0.4,0.45391895231892077,0.1354903510099859
0.5,9,0.4,0.4,0.2,0.5072891312564006,0.1422599192147373
0.5,9,0.4,0.6,0.0,0.5393408402472133,0.1512604726186076
0.5,9,0.6,0.0,0.4,0.49989340793476594,0.13774447210665186
0.5,9,0.6,0.2,0.2,0.5072891312564006,0.1422599192147373
0.5,9,0.6,0.4,0.0,0.5393408402472133,0.1512604726186076
0.5,9,0.8,0.0,0.2,0.4459785321288945,0.13298188132578365
0.5,9,0.8,0.2,0.0,0.5393408402472133,0.1512604726186076
0.5,9,1.0,0.0,0.0,0.44066459922228524,0.060905353361743596
0.5,10,0.0,0.0,1.0,0.2704730110951482,0.23039788626952173
0.5,10,0.0,0.2,0.8,0.24495108896476253,0.20474086898979335
0.5,10,0.0,0.4,0.6,0.24495108896476253,0.20474086898979335
0.5,10,0.0,0.6,0.4,0.24495108896476253,0.20474086898979335
0.5,10,0.0,0.8,0.2,0.24495108896476253,0.20474086898979335
0.5,10,0.0,1.0,0.0,0.251312967576352,0.226882684567584
0.5,10,0.2,0.0,0.8,0.32745306269448904,0.2658633012225739
0.5,10,0.2,0.2,0.6,0.3321756915544794,0.3292357707618551
0.5,10,0.2,0.4,0.4,0.3782221956534345,0.26097035327629886
0.5,10,0.2,0.6,0.2,0.3851569369489158,0.2186087933793253
0.5,10,0.2,0.8,0.0,0.4737977643717599,0.18212699960384673
0.5,10,0.4,0.0,0.6,0.2652834719046576,0.21170252863750288
0.5,10,0.4,0.2,0.4,0.4449256133234602,0.20524331588993444
0.5,10,0.4,0.4,0.2,0.4573204102675807,0.2035537510601125
0.5,10,0.4,0.6,0.0,0.4737977643717599,0.18212699960384673
0.5,10,0.6,0.0,0.4,0.3475750000372247,0.23597381071773688
0.5,10,0.6,0.2,0.2,0.4560848555121678,0.16834806686166942
0.5,10,0.6,0.4,0.0,0.4737977643717599,0.18212699960384673
