slack,cap_sigma,stake,rule,weights,seed,outcome,rounds,n_deviators,truthful_app,final_app,truthful_op,final_op,truthful_sys,final_sys,apps_worse,ops_worse
4.0,0.0,pareto,min,uniform,2,cycle,4,2,12.802759825364852,12.802759825364852,8.086017034643358,7.996694081931876,256.05519650729707,256.05519650729707,0,2
4.0,0.0,pareto,min,uniform,3,cycle,3,2,46.67071571008941,46.67071571008941,26.587543119676763,26.587543119676763,933.414314201788,933.414314201788,0,0
4.0,0.0,pareto,min,uniform,4,fixed_point,1,0,43.04773961646912,43.04773961646912,20.21659545373316,20.21659545373316,860.9547923293825,860.9547923293825,0,0
4.0,0.0,pareto,min,uniform,5,fixed_point,4,3,15.15028194291896,15.15028194291896,7.543107649212512,6.506013209357437,303.0056388583792,303.0056388583792,0,1
4.0,0.0,pareto,min,sys,0,fixed_point,2,1,11.270877924196258,11.270877924196258,4.029780782988301,5.558387339798884,225.41755848392515,225.41755848392515,0,1
4.0,0.0,pareto,min,sys,1,fixed_point,1,0,26.865614605810904,26.865614605810904,10.896974133699954,10.896974133699954,537.3122921162181,537.3122921162181,0,0
4.0,0.0,pareto,min,sys,2,fixed_point,1,0,12.802759825364852,12.802759825364852,7.87322514114005,7.87322514114005,256.05519650729707,256.05519650729707,0,0
4.0,0.0,pareto,min,sys,3,fixed_point,1,0,46.67071571008941,46.67071571008941,26.54226640712517,26.54226640712517,933.414314201788,933.414314201788,0,0
4.0,0.0,pareto,min,sys,4,fixed_point,1,0,43.04773961646912,43.04773961646912,19.16756272907648,19.16756272907648,860.9547923293825,860.9547923293825,0,0
4.0,0.0,pareto,min,sys,5,fixed_point,1,0,15.15028194291896,15.15028194291896,4.662023750569707,4.662023750569707,303.00563885837926,303.00563885837926,0,0
4.0,0.8,pareto,min,uniform,0,max_rounds,6,2,8.499228377763327,11.270877924196258,11.796105060509678,9.93534777325085,584.6623406264256,360.5384801254274,1,2
4.0,0.8,pareto,min,uniform,1,fixed_point,3,2,26.865614605810904,26.865614605810904,17.751869458605242,17.751869458605242,862.409525771239,862.409525771239,0,0
